,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000205485.9,AC004980.7,214.5175215,186.8207365,225.8223317,-0.448152342,0.099936567,-4.48436797,7.31E-06,0.000243078
ENSG00000154240.12,CEP112,222.211037,305.569767,188.1870656,0.678577181,0.151351452,4.4834534,7.34E-06,0.000243834
ENSG00000168918.9,INPP5D,543.6764536,728.5316845,468.225339,0.809922211,0.1806692,4.482901408,7.36E-06,0.000244178
ENSG00000184040.7,TMEM236,3.462089002,7.831326008,1.678726958,1.917022591,0.427656834,4.482618868,7.37E-06,0.000244213
ENSG00000174680.5,GRIK1-AS1,26.26168828,37.77041287,21.56424967,0.988370216,0.220567114,4.481040699,7.43E-06,0.000245736
ENSG00000260455.1,RP1-67M12.2,75.50203109,59.12916857,82.18483211,-0.733202766,0.163674895,-4.479628752,7.48E-06,0.000247076
ENSG00000051009.6,FAM160A2,1028.44449,854.6795092,1099.368972,-0.311632906,0.069597716,-4.477631196,7.55E-06,0.000249106
ENSG00000059588.5,TARBP1,3011.017111,2182.029007,3349.379602,-0.668402938,0.149311631,-4.476563093,7.59E-06,0.000250061
ENSG00000004799.7,PDK4,2150.920547,2925.155025,1834.906474,1.133692008,0.253669643,4.469167049,7.85E-06,0.000258381
ENSG00000171843.11,MLLT3,891.020158,1039.083807,830.5860154,0.373335888,0.083537802,4.469065232,7.86E-06,0.000258381
ENSG00000254906.1,RP11-701I24.3,2.039958269,0.594756951,2.629836358,-1.906633191,0.426846349,-4.466790436,7.94E-06,0.000260837
ENSG00000175182.9,FAM131A,4301.898724,3478.336841,4638.046431,-0.548206916,0.12276221,-4.465599907,7.98E-06,0.000261986
ENSG00000184117.7,NIPSNAP1,2049.514752,1700.541035,2191.953003,-0.497249565,0.111366073,-4.465000456,8.01E-06,0.000262414
ENSG00000105655.12,ISYNA1,776.2855773,1168.853253,616.0538727,0.747712358,0.167627815,4.460550648,8.17E-06,0.00026755
ENSG00000143556.4,S100A7,5.632530115,10.21278112,3.763039911,1.518619908,0.340490153,4.460099344,8.19E-06,0.00026755
ENSG00000177363.4,LRRN4CL,47.22064013,89.71198528,29.87723395,1.250400569,0.280339361,4.460310403,8.18E-06,0.00026755
ENSG00000122986.9,HVCN1,257.6815748,330.8555335,227.8146528,0.81251231,0.182277459,4.457557816,8.29E-06,0.000270427
ENSG00000183888.4,C1orf64,232.1120998,343.9088226,186.4807843,0.919611152,0.206413215,4.455195137,8.38E-06,0.000273105
ENSG00000171345.9,KRT19,54.43786299,114.9517489,29.73831771,1.620420854,0.363772777,4.454486304,8.41E-06,0.000273691
ENSG00000162066.10,AMDHD2,341.6128596,253.3431868,377.6412975,-0.584933821,0.131357517,-4.452990846,8.47E-06,0.000275286
ENSG00000072954.2,TMEM38A,1416.727576,1118.373275,1538.504841,-0.633324029,0.142272027,-4.451500712,8.53E-06,0.000276883
ENSG00000082898.12,XPO1,4710.558482,5648.221863,4327.838734,0.468254373,0.105421562,4.44173243,8.92E-06,0.00028898
ENSG00000100433.11,KCNK10,256.9110841,177.0413701,289.5109674,-0.743856821,0.167465626,-4.4418478,8.92E-06,0.00028898
ENSG00000176293.15,ZNF135,301.5768392,216.3977979,336.3437948,-0.630341803,0.1419188,-4.441566612,8.93E-06,0.00028898
ENSG00000118515.7,SGK1,2809.87455,3715.458046,2440.248633,0.955223089,0.215165275,4.439485374,9.02E-06,0.000291453
ENSG00000143603.12,KCNN3,124.8868472,175.6581082,104.1638835,1.01147011,0.227895812,4.438300568,9.07E-06,0.000292724
ENSG00000057593.9,F7,54.79037343,35.48886263,62.6685411,-0.97503627,0.219713049,-4.437771338,9.09E-06,0.000293108
ENSG00000075420.8,FNDC3B,320.8759222,417.6193705,281.3888005,0.628587821,0.141663424,4.437192067,9.11E-06,0.000293561
ENSG00000068400.9,GRIPAP1,4037.920921,3240.472962,4363.409884,-0.448222235,0.101030108,-4.436521381,9.14E-06,0.000293826
ENSG00000226124.2,FTCDNL1,38.52394632,23.2950902,44.73980596,-1.046586483,0.235903409,-4.436504271,9.14E-06,0.000293826
ENSG00000164318.13,EGFLAM,43.83222578,94.17731786,23.2832086,1.633585663,0.368303085,4.435438445,9.19E-06,0.000294609
ENSG00000164941.9,INTS8,793.6922939,935.327508,735.8820024,0.394857949,0.089022024,4.435508572,9.19E-06,0.000294609
ENSG00000138785.10,INTS12,384.5127083,451.1871635,357.2986449,0.302957069,0.068308141,4.435153171,9.20E-06,0.000294663
ENSG00000258858.1,RP11-982M15.5,2.025643805,0.396570104,2.690571847,-2.022413169,0.456213459,-4.433041435,9.29E-06,0.000297226
ENSG00000169385.2,RNASE2,31.49190444,55.1704942,21.82717393,1.783765327,0.402424578,4.432545682,9.31E-06,0.000297572
ENSG00000238171.1,AC068196.1,11.23491237,22.00682141,6.83821481,1.486431478,0.335440378,4.4312837,9.37E-06,0.000298979
